feature,importance
cat__care_plan_following_discharge_Follow-up Infectious Disease; Wound Care; IV Antibiotics Completion,1.5610960226734952e-05
cat__care_plan_following_discharge_Follow-up Pulmonology; Home O2 Therapy,1.552225442516079e-05
"cat__Condition_Overdose, antidepressants (cyclic, lithium)",1.544622465670956e-05
cat__care_plan_following_discharge_Support Group; Psychiatric Follow-up,1.514752396865913e-05
cat__care_plan_following_discharge_Pulmonary Rehab; Home O2 Therapy; Follow-up Pulmonology,1.497107701887669e-05
cat__uniquepid_002-11312,1.448415879023799e-05
cat__care_plan_following_discharge_Speech Therapy; Physical Therapy; Follow-up Neurology,1.4315862681445301e-05
"cat__Condition_Bleeding, GI-location unknown",1.4012961286514635e-05
cat__uniquepid_007-11948,1.383041646401111e-05
"cat__Condition_Sepsis, GI",1.3794134977130215e-05
cat__uniquepid_003-10799,1.3619563800288312e-05
cat__uniquepid_004-11995,1.3577548866510991e-05
"cat__Condition_Metabolic/endocrine medical, other",1.3529839063810616e-05
cat__uniquepid_003-10552,1.3440103528942726e-05
cat__Condition_Hysterectomy for other benign neoplasm/fibroids,1.3389776511802516e-05
cat__uniquepid_002-12966,1.3368817103300257e-05
cat__uniquepid_003-11569,1.2916534940705542e-05
cat__care_plan_following_discharge_Home Health; Wound Care; Follow-up Infectious Disease,1.2744156903159074e-05
cat__uniquepid_002-9507,1.2657644750039358e-05
cat__uniquepid_002-11539,1.2655088187151193e-05
